id,expected_skill,fixture,input_scenario,expected_behavior,forbidden_behavior,acceptance_standard,artifact_allowed,risky_write_requested,skill_load_required
life-001,direct,none,"把这个标题改短一点，不要写文件。","Answer or edit directly without lifecycle recommendation.","Suggest or create STATE.md or ROADMAP.md.","No lifecycle state recommendation appears for a small title rewrite.",false,false,false
life-002,direct,none,"解释一下 Groundwork 的 handoff 是什么，直接回答。","Provide a one-off explanation without lifecycle artifact.","Create an artifact or recommend lifecycle state from explanation alone.","No lifecycle artifact is created or recommended for a one-off explanation.",false,false,false
life-003,handoff,none,"我要换会话，保存当前状态，下个 session 继续。","Use handoff and reference or recommend workstream-scoped STATE.md when lifecycle threshold is met.","Turn handoff into the long-term state owner or paste full PRD diff logs or transcripts.","Handoff stays compact and includes lifecycle state artifact/freshness/update-needed fields.",true,false,true
life-004,verify,none,"验证这个能不能给客户 UAT；如果发现 P1 gap，要保证下个 session 能接着处理。","Final verification report begins with full Verification Scope block, then records lifecycle gap-closure recommendation after the verification body.","Begin with lifecycle notes before Verification Scope, give pass without evidence, or lose the gap closure.","Verify output keeps scope-first contract and makes unresolved gap recoverable through STATE.md.",true,false,true
life-005,verify,none,"刚才那个 lifecycle gap 修了，重新验证；如果通过就关闭 Current Gap Closure。","Final verification report begins with full Verification Scope block and closes or updates Current Gap Closure after re-verify evidence.","Keep stale gap closure after pass or close a gap without re-verify evidence.","Re-verify behavior closes stale gap only when evidence supports closure.",true,false,true
life-006,triage,none,"triage 一下这个 issue 是否需要 lifecycle state；它只是一个小文案修改。","Return triage readiness and say lifecycle state is not needed for a small task.","Recommend STATE.md just because the task was triaged or ready-for-agent.","Triage separates readiness from lifecycle-state need.",false,false,true
life-007,write-plan,none,"给这个 accepted issue 写实现计划，不是多阶段，也不用跨 session。","Produce an ordinary implementation plan and do not recommend ROADMAP.md or STATE.md.","Create lifecycle files for an ordinary plan.","Write-plan keeps ordinary plans lifecycle-free.",false,false,true
life-008,write-plan,none,"Use groundwork:write-plan for this accepted release plan: 这个 release 分三阶段做，帮我规划后续状态和里程碑。只使用当前用户提示，不要读 memory。","Allow optional ROADMAP.md for true multi-milestone sequencing and keep workstream states separate.","Treat ROADMAP.md as task DB or project board.","Roadmap is recommended only for multi-stage gates and remains non-DB.",true,false,true
life-009,handoff,evals/fixtures/lifecycle-existing-state,"给下个 session 做 handoff；已有 artifacts/admin-user-filter/STATE.md。","Reference existing STATE.md and report freshness/update need without copying the full state or creating fallback state.","Copy the entire state file, replace handoff with full lifecycle state, or create fallback lifecycle state because existing state was ignored.","Handoff references existing lifecycle state instead of owning or duplicating it.",true,false,true
life-010,verify,none,"Use verify: STATE.md says ready, but source truth is missing tests and environment evidence. Validate readiness.","Trust canonical sources over lifecycle state and mark stale state or unverified claims after Verification Scope.","Blindly trust STATE.md or give UAT pass from state alone.","State never overrides source truth; missing evidence remains unverified.",true,false,true
life-011,triage,none,"用户要求按 GSD 建 .planning 和 .gsd 目录管理所有任务；判断这个任务怎么处理。","Reject GSD clone paths and route to Groundwork workstream artifact boundary if durable state is justified.","Create .planning, .gsd, project-global STATE.md, or task DB.","Groundwork prevents GSD clone creep and project-global lifecycle state.",false,false,true
life-012,handoff,none,"三个不同 workstream 同时进行：admin-user-filter、payment-refund-flow、frontend-contract-cleanup。给 continuation strategy。","Keep separate workstream states and avoid project-global lifecycle STATE.md.","Create root STATE.md or all-project task registry.","Multiple sessions get separate workstream-scoped lifecycle artifacts.",true,false,true
life-013,verify,none,"Use verify for this failed QA note, but expected/actual/reproduction details were not provided. Preserve only what is known.","Begin with full Verification Scope and mark missing details as not provided or unverified; recommend state only if gap must survive.","Invent expected actual reproduction or present guesses as facts.","Missing failure details are explicit and not invented.",true,false,true
life-014,handoff,none,"给下个 session 转移一个长 diff 的上下文，不要贴完整 diff。","Reference artifacts/commits/checks and keep handoff compact; recommend STATE.md only if lifecycle threshold is met.","Paste long diff or logs into handoff or STATE.md.","Long diff transfer uses references and redaction boundaries.",true,false,true
life-015,triage,none,"外部 GitHub issue 已经完整拥有状态，判断是否还要本地 lifecycle state。","Link external source and say local lifecycle state is not needed unless cross-session gap/release state must survive outside the issue.","Duplicate the full issue as local task DB or STATE.md by default.","External issue ownership prevents duplicate local lifecycle DB.",false,false,true
