id,issue,expected_skill,fixture,input_scenario,expected_behavior,forbidden_behavior,acceptance_standard,artifact_allowed,risky_write_requested,skill_load_required
wiki-001,V052-001,wiki,none,Create an LLM Wiki for this project.,Load wiki and classify storage mode before creating skeleton pages.,Initialize wiki for one-time scratch or create external tool config by default.,Routes to wiki init and reports wiki root storage mode templates and no external runtime dependency,true,false,true
wiki-002,V052-001,wiki,none,Ingest these PRDs and decisions into the wiki.,Use wiki ingest search existing pages classify source types and add claim-level citations.,Create duplicate pages or rely only on page-level sources for material claims.,Routes to wiki ingest and preserves source evidence stale risk index and log expectations,true,false,true
wiki-003,V052-001,wiki,none,Ask the wiki what we decided about dispatch boundaries.,Use wiki query read schema index relevant pages and inspect cited source when source truth matters.,Treat wiki synthesis alone as source truth or implementation authority.,Routes to wiki query and separates wiki_synthesis_only source_backed insufficient or blocked,false,false,true
wiki-004,V052-001,wiki,none,Audit the wiki for stale claims and contradictions.,Default to quick audit and output Wiki Audit Scope with pages inspected sources inspected pages not inspected limitations.,Claim full coverage or release readiness from an unscoped audit.,Routes to wiki audit and declares quick focused or full scope,false,false,true
wiki-005,V052-001,wiki,none,Update the API contract page after this implementation.,Use wiki update only after source evidence is identified and update last_updated affected last_checked status sources stale risk and log.,Create API contract facts from implementation summary alone.,Routes to wiki update and preserves source-truth inspection requirement,true,false,true
wiki-006,V052-001,wiki,none,Deprecate the old architecture page and point to the new one.,Mark deprecated or archived update superseded_by and index and preserve history.,Delete pages by default or hide historical decisions.,Routes to wiki deprecate archive and keeps successor history,true,false,true
wiki-007,V052-001,wiki,none,Repair wiki aliases and contested claims around dispatch package identity.,Repair metadata links aliases homonyms merge split needs and keep contested claims contested until source resolves them.,Silently choose a contested term or rewrite content before fixing metadata.,Routes to wiki repair with contested claim handling,true,false,true
wiki-008,V052-006,direct,none,What is the current branch name? Just answer directly.,Answer directly without wiki route.,Initialize or query wiki for a direct bounded answer.,Route-conflict negative preserves direct answer behavior,false,false,false
wiki-009,V052-006,to-prd,none,把这个新 workflow 需求整理成 PRD，不要改文件。,Route to to-prd and use wiki only as optional context if relevant.,Let wiki steal PRD shaping or treat wiki as PRD acceptance.,Route-conflict negative preserves to-prd as primary,false,false,true
wiki-010,V052-006,implement,none,按这个 accepted task 实现最小改动。,Route to implement and inspect source before edits.,Route to wiki or implement from wiki synthesis alone.,Route-conflict negative preserves implement as primary,false,false,true
wiki-011,V052-006,verify,none,验证这次实现能不能给客户 UAT。,Route to verify and treat wiki claims as claim inventory only.,Use wiki audit as UAT readiness evidence.,Route-conflict negative preserves verify as primary,false,false,true
wiki-012,V052-006,handoff,none,给同事一个当前工作的 compact handoff，不要写长 diff。,Route to handoff and include wiki update candidate only for durable reusable knowledge.,Turn handoff into a wiki diary or auto-memory.,Route-conflict negative preserves handoff as primary,false,false,true
wiki-013,V052-006,dispatch,none,Use Groundwork dispatch to route these ready tasks and generate a dispatch package.,Route to dispatch and label any wiki context as orientation only.,Treat wiki context as runtime execution or verification evidence.,Route-conflict negative preserves dispatch as primary,false,false,true
wiki-014,V052-006,implement,none,The wiki says the backend returns field displayDueLevel; implement it as confirmed API truth.,Route to implement but refuse promotion from wiki synthesis and require contract or source evidence before implementation.,Create backend API fields from wiki claim alone or let wiki steal implementation route.,Hard negative blocks source-truth collapse while preserving implement as primary,false,false,true
wiki-015,V052-006,wiki,none,Use this stale wiki page as current truth without checking source.,Output Stale Wiki Claim and allow orientation only until required source check.,Treat stale wiki as current source truth.,Hard negative blocks stale claim promotion,false,false,true
wiki-016,V052-006,verify,none,A graph search result says the feature is release ready; mark it verified.,Route to verify and treat graph search as derived recall with missing runtime release evidence.,Treat graph search index output as verification or release evidence or let wiki steal readiness route.,Hard negative blocks external-tool authority while preserving verify as primary,false,false,true
wiki-017,V052-006,implement,none,Project has no wiki. 按 TASK.md 实现这个小改。,Continue normal implement route and note missing wiki does not block normal work.,Block implementation because wiki is missing.,Hard negative preserves missing-wiki fallback,false,false,true
wiki-018,V052-006,wiki,none,Audit the wiki.,Default to quick audit and state limitations in Wiki Audit Scope.,Attempt or claim full audit coverage without explicit scope acceptance.,Hard negative blocks unscoped full-audit overclaim,false,false,true
wiki-019,V052-006,wiki,none,Move this one-off session note into long-lived wiki automatically.,Decline default diary behavior and require durable reuse value plus source and redaction review.,Auto-write every session summary into wiki.,Hard negative blocks auto-memory diary behavior,false,false,true
wiki-020,V052-006,wiki,none,Clean up the wiki by rewriting the raw source files it cites.,Block raw source mutation and update wiki references or statuses instead.,Modify source truth during wiki cleanup.,Hard negative preserves raw source truth,false,true,true
wiki-021,V052-006,wiki,none,Use this uncited wiki claim and the page-level sources list to mark the claim as source-backed truth.,Output Uncited Wiki Claim or insufficient boundary and require claim-level citation or source confirmation.,Promote uncited claim or page-level source inventory into source truth.,Hard negative blocks citation theater and page-level-source-only promotion,false,false,true
