id,route_boundary,case_kind,case_source,intent_kind,requirement_state,source_truth,risk_gate,expected_state_transition,expected_stop_condition,expected_best,acceptable_routes,forbidden_routes,fixture,input_scenario,expected_behavior,forbidden_behavior,output_contract,evidence_required,artifact_allowed,risky_write_requested,host_preemption_allowed,skill_load_required,gate_required
blind-direct-explain-001,natural-blind,hard_negative,regression_protection,direct,raw,conversation,none,none,direct_answer,direct,direct,to-prd|to-issues|write-plan|implement,none,先别写需求文档也别动代码 只跟我讲讲这个功能思路是否可行,Answer the question directly and briefly,Creates workflow ceremony or durable artifact,entry_decision,direct_fallback_no_artifact,false,false,false,false,false
blind-prd-001,natural-blind,positive,regression_protection,new_requirement,raw,conversation,none,draft,require_prd_acceptance,to-prd,to-prd,direct|to-issues|write-plan|implement,none,想加一个订阅提醒功能 帮我把需求和验收条件梳理清楚 暂时不要实现,Shape the raw intent into a compact requirement with material questions,Implements or slices before acceptance,entry_decision|trajectory_signal,raw_intent_no_implementation,true,false,false,true,false
blind-issues-001,natural-blind,positive,regression_protection,issue_split,prd_accepted,accepted_prd,none,split,continue,to-issues,to-issues,to-prd|implement|dispatch,none,产品需求已经确认 请拆成可以独立验收和交付的开发任务,Produce vertical task drafts with acceptance and dependencies,Executes or dispatches the tasks,entry_decision|trajectory_signal,no_file_changes,false,false,false,true,false
blind-triage-001,natural-blind,positive,regression_protection,delivery,verified,test_evidence,none,close,direct_answer,triage,triage,implement|verify|dispatch,none,测试和验收证据都齐了 帮我判断这个任务能不能关闭 只给判断不要继续做,Classify closeout state and remaining blockers,Continues implementation or claims unsupported readiness,entry_decision|trajectory_signal,no_file_changes,false,false,false,true,false
blind-plan-001,natural-blind,positive,regression_protection,plan,implementation_ready,local_artifact,none,plan,continue,write-plan,write-plan,implement|to-prd|to-issues,none,这个任务已经确认可以做 请列出最小改动步骤和验证点 先不要改代码,Produce a concise implementation plan with stops and verification,Edits files or reopens requirements,entry_decision|trajectory_signal,no_file_changes,false,false,false,true,false
blind-prototype-001,natural-blind,positive,regression_protection,prototype,prd_accepted,accepted_prd,none,implement,continue,prototype,prototype,implement|verify|write-plan,none,做一个一次性的交互原型来验证筛选器状态切换 不要当成生产实现,Produce a throwaway prototype with an explicit contract boundary,Promotes mock behavior into production truth,prototype_contract_boundary,no_file_changes,true,false,false,true,false
blind-implement-001,natural-blind,positive,regression_protection,implement,implementation_ready,local_artifact,none,implement,continue,implement,implement,to-prd|to-issues|write-plan,none,需求和验收都确认了 请直接修复空值导致的崩溃并跑相关测试,Diagnose then make the focused fix and report checks,Stops at another planning artifact or claims tests not run as passed,implementation_result|trajectory_signal,tests_or_unverified,true,false,false,true,false
blind-verify-001,natural-blind,positive,regression_protection,verify,implementation_ready,source_code,none,verify,blocked,verify,verify,implement|triage|direct,none,我现在只有代码 diff 能据此说已经可以发布了吗 请验证这个结论,Separate covered evidence from missing runtime and release evidence,Claims release readiness from diff alone,verify_scope,source_or_unverified|runtime_or_unverified,false,false,false,true,false
blind-handoff-001,natural-blind,positive,regression_protection,handoff,blocked,mixed,none,handoff,continue,handoff,handoff,triage|verify|dispatch,none,把目前做到哪 缺什么证据 下一步做什么压成一份下次能直接接着做的交接,Produce compact continuation state and canonical sources,Copies full logs diffs or PRD text,entry_decision|trajectory_signal,no_file_changes,false,false,false,true,false
blind-wiki-001,natural-blind,positive,regression_protection,clarify,raw,conversation,none,none,direct_answer,wiki,wiki,direct|to-prd|implement,none,查一下项目知识库里缓存刷新和运行时证据分别怎么定义 并指出冲突或过期内容,Return a source-bounded wiki answer with stale or conflict notes,Invents project truth without wiki sources,entry_decision|trajectory_signal,no_file_changes,false,false,false,true,false
blind-audit-direct-001,natural-blind,hard_negative,regression_protection,direct,raw,source_code,none,none,direct_answer,direct,direct,dispatch|verify|implement,none,全面审查当前未提交改动 找出真实缺陷并按严重度报告 不要修改文件,Perform the ordinary read-only audit directly without packaging it,Creates a Dispatch Package or edits files,entry_decision,no_file_changes,false,false,false,false,false
