id,skill,should_trigger,prompt,expected_behavior,artifact_allowed,risky_write_allowed
to-prd-001,to-prd,true,把这段需求整理成 PRD,Produce compact PRD with acceptance and gaps,false,false
to-prd-002,to-prd,true,根据这些 UAT 反馈写一个需求说明,Separate evidence assumptions and acceptance,false,false
to-prd-003,to-prd,true,这个功能目标有点散 帮我收敛一下,Use the internal scope-shaping branch owned by to-prd and produce PRD shaped intent,false,false
to-prd-004,to-prd,false,基于这个已经确认的 PRD 拆 issues,Should route to to-issues,false,false
to-prd-005,to-prd,false,帮我把这句话润色得更自然,Use direct fallback,false,false
to-prd-006,to-prd,true,把这个模糊需求写成 PRD 但很多业务字段没给,"Keep output in conversation; use shared GRILLING or the Spec Convergence Loop for the highest-impact blocker, label unknown business fields NEEDS CLARIFICATION, and do not load the durable-only GRILL-BEFORE-WRITE gate",false,false
to-prd-007,to-prd,true,先根据仓库文档判断这个需求能不能写 PRD 不清楚再问我,"Inspect local evidence first, then use shared GRILLING to ask one highest-impact interactive question with a recommended answer and impact when blocked",false,false
to-prd-008,to-prd,true,"请把这个已收敛为单一有界决定的需求保存为 compact durable PRD；没有 material ambiguity、未解决产品决定、跨 domain/source-contract 冲突或多 owner 协调；当前 route 可写且 audience-first header 已完整。","Run the four-condition Durable Write Gate, then load PRD-TEMPLATE and write the compact durable artifact without loading GRILL-BEFORE-WRITE by default",true,false
to-prd-009,to-prd,true,把这段含 token 私有回调地址和客户手机号的排障材料整理成 PRD,Must redact secrets private URLs credentials PII sensitive logs requests and database rows while preserving non-secret source identifiers,false,false
to-prd-010,to-prd,true,用户说新版要删除状态 A 但仓库文档说状态 A 仍是必需规则 帮我写需求说明,Must name conflicting source truth separate verified facts from assumptions and mark unresolved product truth NEEDS CLARIFICATION,false,false
to-prd-011,to-prd,true,"我有个新功能想法，直接拆成 issues 给 agent 并行做，不要先问问题","Treat raw idea plus agent issue-slicing request as PRD/spec shaping before issue drafts; do not create issue pack before accepted source exists",false,false
to-prd-012,to-prd,true,"请保存 full durable PRD；文档需要收敛多个 owner 的决定和 source-contract 冲突；当前 route 可写、artifact promotion 已确认且 audience-first header 已完整。","Run the four-condition Durable Write Gate first, then load and execute GRILL-BEFORE-WRITE, and only then load PRD-TEMPLATE to write the full durable artifact",true,false
to-prd-013,to-prd,true,请在当前对话里逐步 grill 这个模糊需求；每次只问一个最关键问题；不要写文件,"Use shared GRILLING and the Spec Convergence Loop for interactive conversation; do not load GRILL-BEFORE-WRITE or PRD-TEMPLATE and do not write a durable artifact",false,false
to-prd-014,to-prd,true,请把这段需求保存成 PRD 文件；但当前是 chat-only route 且 audience-first header 未完成,"Fail the Durable Write Gate, return a bounded conversation PRD, name the unmet write-capable-route and header conditions, and do not load durable references or write a file",false,false
