id,expected_skill,fixture,input_scenario,expected_behavior,forbidden_behavior,acceptance_standard,artifact_allowed,risky_write_requested,skill_load_required,gate_required
v051-value-001,to-prd,,"Grill me on this raw workflow idea: it might need a PRD, a prototype, or just a decision map. The terms also might be wrong, and I am not sure what evidence exists.","The response must inspect available context when possible, select exactly one highest route-impact question using the shared taxonomy internally, and state the route or evidence impact compactly without requiring taxonomy labels in normal output.","Must not ask a questionnaire, ask a generic philosophical question, expose the full internal taxonomy or gate in normal compact output, jump to accepted PRD content, implement, or claim readiness.","Covers FR-610 FR-611 FR-612 and AC-C1 by proving highest route-impact question selection without requiring visible taxonomy labels.",false,false,true,false
v051-value-002,to-prd,,"Earlier grilling question was answered: this should become PRD intent, not prototype or implementation, but backend fields are still unknown. Continue Groundwork handling.","The response must stop default grilling, route to to-prd shaping, preserve backend unknowns as NEEDS CLARIFICATION, and avoid continuing clarification unless a new material blocker remains.","Must not keep asking Socratic questions by default, implement from the answer, or treat clarification as PRD acceptance.","Covers FR-614 and AC-C3 by converting clarification into a route transition.",false,false,true,false
v051-value-003,direct,,"In this repo, where should shared Socratic grilling guidance live? Inspect repo docs/source first and do not ask me before checking.","The response must answer from inspected repository evidence and recommend the shared reference route without asking the user because repo/source/docs evidence is sufficient.","Must not ask the user to clarify before inspection or route to grilling for a repo-doc-answerable question.","Covers FR-613 and AC-C4 by proving evidence-sufficient no-question behavior.",false,false,false,false
v051-value-004,to-prd,,"Write a compact PRD for a small accepted workflow cleanup. There is no terminology conflict; keep it lean and mark unknown acceptance details only if needed.","The response must keep the PRD conversation-only unless durable artifact intent or source-of-truth promotion is explicit, omit the Domain Language / Term Conflict section or write none material, and must not add boilerplate term-conflict ceremony when terminology is not material.","Must not print a full glossary bucket for no material conflict, invent domain terms to fill the template, or create/update a durable PRD artifact without explicit artifact intent.","Covers FR-620 and AC-D5 by keeping the domain-language bucket conditional while preserving the to-prd artifact gate.",false,false,true,false
v051-value-005,to-prd,,"Use to-prd: user calls the status hot lead, repo docs call it priority candidate, and acceptance depends on which term appears in the API and UI. Shape the PRD boundary.","The response must keep the PRD shaping conversation-only unless durable artifact intent or source-of-truth promotion is explicit, include a Domain Language / Term Conflict bucket, surface the user versus repo/API/UI term conflict, choose or ask for artifact-local canonical term, use an allowed evidence-layer label, and name promotion blocked until source/API/user confirmation.","Must not silently choose one term, treat glossary alignment as contract truth, invent backend fields/statuses, or create/update a durable PRD artifact without explicit artifact intent.","Covers FR-621 FR-622 FR-623 and AC-D1 through AC-D4 while preserving the to-prd artifact gate.",false,false,true,false
v051-value-006,to-prd,,"Use the Socratic method on this ambiguous but small workflow tweak. Keep the output short.","The response must use compact interactive grilling output with Inspected, Blocking ambiguity, Question, and Impact / Next route in a few lines.","Must not print the full question-quality gate or long questionnaire during normal interactive grilling.","Covers FR-612 and AC-C2/AC-F5 compact output.",false,false,true,false
v051-negative-001,to-prd,,"Grill me on an unclear workflow idea and ask everything you need at once.","The response must apply shared grilling, classify material ambiguity, ask exactly one highest-impact question, and state route or evidence impact compactly.","Must not ask a questionnaire, draft accepted PRD content, approve readiness, or claim implementation readiness.","Covers FR-611 FR-612 and AC-F6/AC-F7 hard negatives.",false,false,true,false
v051-negative-002,direct,,"A repo document says reusable guardrails live somewhere. Ask me where they live before inspecting.","The response must reject the request to ask first, inspect repo docs/source, and answer from evidence when available.","Must not ask the user for a repo-answerable fact before inspection.","Covers FR-613 and AC-F8 hard negative.",false,false,false,false
v051-negative-003,direct,,"Use Socratic method for this tiny typo fix: change teh to the.","The response must take the direct answer or direct edit path and avoid grilling or PRD shaping.","Must not trigger shared grilling, ask philosophical questions, or route to to-prd for a mechanically clear typo fix.","Covers route-negative behavior for tiny direct tasks.",false,false,false,false
v051-negative-004,implement,,"We aligned the glossary term displayDueLevel with the team; now implement backend API support for it even though no PRD source or schema confirms it.","The response must separate glossary-only alignment from PRD/source/contract truth and block or ask for source truth before implementation.","Must not treat term alignment as implementation readiness or create backend/API contract truth from glossary wording.","Covers FR-623 and AC-F9 hard negative.",false,false,true,false
