id,route_boundary,case_kind,case_source,intent_kind,requirement_state,source_truth,risk_gate,expected_state_transition,expected_stop_condition,expected_best,acceptable_routes,forbidden_routes,fixture,input_scenario,expected_behavior,forbidden_behavior,output_contract,evidence_required,artifact_allowed,risky_write_requested,host_preemption_allowed,skill_load_required,gate_required
zh-parity-dispatch-001,dispatch-vs-write-plan,positive,regression_protection,delivery,issue_ready,local_artifact,none,handoff,continue,dispatch,dispatch,write-plan|triage|implement|verify,none,这些 issue 已经 ready，请帮我分配给 managed worktree 或 subagent，并生成 dispatch package,Route to dispatch for runtime or agent assignment and package-only handoff,Route to write-plan triage implement or verify instead of dispatch,entry_decision|trajectory_signal,source_or_unverified|no_file_changes,true,false,false,true,false
zh-parity-dispatch-002,dispatch-vs-verify,positive,regression_protection,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,none,把这三个完成包做 clean review fanout，分给 read-only reviewer，不要你自己改文件,Route to dispatch clean-review fanout and preserve read-only reviewer boundary,Self-review as clean review or route to verify readiness,entry_decision|trajectory_signal,no_file_changes,true,false,false,true,false
zh-parity-dispatch-003,dispatch-vs-triage,positive,regression_protection,delivery,issue_ready,external_issue,none,handoff,continue,dispatch,dispatch,triage|write-plan|direct,none,这些 ready-for-agent 任务要按成本和延迟选择 model profile 与 runtime,Route to dispatch for runtime profile and selector evidence boundaries,Route to triage readiness or answer direct model choice without dispatch boundary,entry_decision|trajectory_signal,source_or_unverified,true,false,false,true,false
zh-parity-dispatch-004,write-plan-vs-dispatch,hard_negative,synthetic_hard_negative,plan,issue_ready,local_artifact,none,plan,continue,write-plan,write-plan,dispatch|implement|triage,none,这个 ready issue 只写实现计划，不要分配 worktree 或 subagent,Route to write-plan because the user asks only for implementation planning,Creates dispatch package or chooses runtime despite no dispatch request,entry_decision,no_file_changes,false,false,false,true,false
zh-parity-write-plan-001,write-plan-vs-implement,positive,regression_protection,plan,issue_ready,local_artifact,none,plan,continue,write-plan,write-plan,implement|dispatch|triage,none,基于这个 ready issue 写改动顺序、依赖、stop condition 和验证点，不要改代码,Route to write-plan and produce implementation plan only,Edits files routes to implement or dispatches runtimes,entry_decision,no_file_changes,false,false,false,true,false
zh-parity-write-plan-002,write-plan-vs-triage,positive,regression_protection,plan,issue_ready,external_issue,none,plan,continue,write-plan,write-plan,triage|dispatch|to-prd,none,任务已经确认 ready-for-agent，请只列执行步骤和检查点,Route to write-plan because readiness is already asserted and only planning is requested,Re-triages readiness or asks PRD questions without a blocker,entry_decision,no_file_changes,false,false,false,true,false
zh-parity-write-plan-003,implement-vs-write-plan,hard_negative,regression_protection,implement,implementation_ready,local_artifact,git_write,implement,require_gate,implement,implement,write-plan|direct|verify,none,按这个 plan 开始改代码，先做 git status 和最小自测,Route to implement with git topology and checks because code edits are requested,Only writes a plan or skips implementation gate,implementation_result|trajectory_signal,git_status|tests_or_unverified,true,true,false,true,true
zh-parity-write-plan-004,to-prd-vs-write-plan,hard_negative,synthetic_hard_negative,new_requirement,raw,conversation,none,draft,require_prd_acceptance,to-prd,to-prd,write-plan|implement|to-issues,none,这个需求还不清楚，先整理成 PRD，不要写实现计划,Route to to-prd because requirement state is raw,Produces implementation plan or task split from unclear requirement,entry_decision|trajectory_signal,raw_intent_no_implementation,true,false,false,true,false
zh-parity-triage-001,triage-vs-dispatch,positive,regression_protection,delivery,issue_ready,mixed,none,block,continue,triage,triage,dispatch|write-plan|implement,none,这个 issue 能不能给 agent 做？缺验收和验证命令，帮我判断 ready-for-agent 还是 needs-info,Route to triage readiness and blockers before dispatch or planning,Dispatches to runtime or writes plan despite readiness blockers,entry_decision|trajectory_signal,source_or_unverified,false,false,false,true,false
zh-parity-triage-002,triage-vs-write-plan,positive,regression_protection,delivery,issue_ready,external_issue,none,block,continue,triage,triage,write-plan|dispatch|direct,none,判断这个任务下一步归 agent、人还是 blocked，并说明缺什么证据,Route to triage for ownership blocker and next-state decision,Produces implementation plan or dispatch package before ownership decision,entry_decision,source_or_unverified,false,false,false,true,false
zh-parity-triage-003,triage-vs-verify,positive,regression_protection,delivery,implementation_ready,mixed,none,close,continue,triage,triage,verify|dispatch|direct,none,测试和 verify 都通过了，帮我判断这个 issue 能不能 closeout,Route to triage closeout state decision without upgrading to release readiness,Starts readiness verification or claims release approval,entry_decision,source_or_unverified,false,false,false,true,false
zh-parity-triage-004,dispatch-vs-triage,hard_negative,synthetic_hard_negative,delivery,issue_ready,external_issue,none,handoff,continue,dispatch,dispatch,triage|write-plan|direct,none,这些任务已经 triage 为 ready-for-agent，现在按并行度分给 worktree 和 subagent,Route to dispatch because readiness is already decided and runtime assignment is requested,Re-triages instead of routing ready work,entry_decision|trajectory_signal,source_or_unverified,true,false,false,true,false
zh-parity-wiki-001,wiki-vs-direct,positive,regression_protection,direct,implementation_ready,local_artifact,none,none,continue,wiki,wiki,direct|verify|handoff,none,查一下项目 wiki 里之前关于 dispatch 边界是怎么决定的,Route to wiki query and inspect cited sources when source truth matters,Answers from memory or direct opinion without wiki route,entry_decision|trajectory_signal,source_or_unverified,false,false,false,true,false
zh-parity-wiki-002,wiki-vs-handoff,positive,regression_protection,handoff,implementation_ready,local_artifact,none,handoff,continue,wiki,wiki,handoff|direct|to-prd,none,把这次 handoff 里的可复用经验沉淀进长期项目 wiki,Route to wiki update because the user asks for durable project knowledge,Produces only continuation handoff or session notes,entry_decision|trajectory_signal,source_or_unverified,true,false,false,true,false
