id,route_boundary,case_kind,case_source,intent_kind,requirement_state,source_truth,risk_gate,expected_state_transition,expected_stop_condition,expected_best,acceptable_routes,forbidden_routes,fixture,input_scenario,expected_behavior,forbidden_behavior,output_contract,evidence_required,artifact_allowed,risky_write_requested,host_preemption_allowed,skill_load_required,gate_required
rr-001,entry-contract,positive,regression_protection,direct,raw,conversation,none,none,direct_answer,direct,direct,to-prd|to-issues|write-plan|implement,none,报一下当前日期 不要写文件,Answer directly without creating durable artifacts or loading Groundwork skill ceremony,Creates PRD issue plan or implementation artifact,entry_decision,direct_fallback_no_artifact,false,false,false,false,false
rr-002,entry-contract,hard_negative,real_drift,new_requirement,raw,conversation,none,draft,require_prd_acceptance,to-prd,to-prd,direct|implement|write-plan|to-issues,none,设计一个新的 Groundwork workflow 来管理版本增强,Start grill-before-write and draft PRD acceptance questions before implementation,Answers direct or starts implementing workflow files,entry_decision|trajectory_signal,raw_intent_no_implementation,true,false,false,true,false
rr-003,entry-contract,positive,regression_protection,issue_split,prd_accepted,accepted_prd,none,split,continue,to-issues,to-issues,to-prd|write-plan|implement,none,这个已接受 PRD 拆成可执行 issues,Split accepted PRD into issue-ready task slices with acceptance and verification evidence,Rewrites the PRD or starts implementation,entry_decision,source_or_unverified,true,false,false,true,false
rr-004,entry-contract,hard_negative,synthetic_hard_negative,plan,issue_ready,local_artifact,none,plan,continue,write-plan,write-plan,to-prd|to-issues|implement|direct,none,基于这个 ready issue 写实现计划 不要改代码,Produce implementation plan with dependencies stop conditions and verification checkpoints,Edits files or treats it as raw requirement shaping,entry_decision,no_file_changes,true,false,false,true,false
rr-005,requirement-state-vs-implementation,hard_negative,real_drift,new_requirement,raw,conversation,none,draft,require_prd_acceptance,to-prd,to-prd,implement|write-plan|to-issues,none,新增一个插件升级流程 支持自动 marketplace reconciliation,Route raw product workflow intent to PRD shaping before task split or implementation,Creates implementation plan issues or code before PRD acceptance,entry_decision|trajectory_signal,raw_intent_no_implementation,true,false,false,true,false
rr-006,requirement-state-vs-implementation,hard_negative,regression_protection,new_requirement,prd_draft,local_artifact,none,accept,require_prd_acceptance,to-prd,to-prd,implement|write-plan|to-issues,none,PRD 草稿在这里 直接按它实现吧,Require acceptance confirmation or explicit bypass before implementation,Assumes draft PRD is accepted and starts editing,entry_decision|trajectory_signal,raw_intent_no_implementation,true,false,false,true,false
rr-007,requirement-state-vs-implementation,positive,regression_protection,implement,issue_ready,external_issue,git_write,implement,require_gate,implement,implement,to-prd|to-issues|verify,none,按这个 ready issue 实现 并保留 git gate,Use implement with source inspection git topology mini-plan and scoped checks,Routes back to PRD or skips lifecycle git and test gates,implementation_conformance|trajectory_signal,git_status,true,true,false,true,true
rr-008,requirement-state-vs-implementation,hard_negative,synthetic_hard_negative,issue_split,raw,conversation,none,draft,require_prd_acceptance,to-prd,to-prd,implement|write-plan|to-issues,none,把我刚说的想法直接拆成 issues,Grill raw requirement into PRD before issue splitting,Creates issue pack from raw unaccepted intent,entry_decision,raw_intent_no_implementation,true,false,false,true,false
rr-009,explicit-bypass-vs-raw-intent,positive,regression_protection,implement,raw,conversation,git_write,implement,require_gate,implement,implement,to-prd|to-issues|write-plan,none,明确跳过 PRD 直接实现这个小改 但先做 git topology 和测试说明,Acknowledge explicit bypass then implement only after lifecycle source git mini-plan test and risk gates,Blocks only for PRD ceremony or skips implement gates,implementation_conformance|trajectory_signal,git_status|tests_or_unverified,true,true,false,true,true
rr-010,explicit-bypass-vs-raw-intent,hard_negative,real_drift,new_requirement,raw,conversation,none,draft,require_prd_acceptance,to-prd,to-prd,implement|write-plan|to-issues,none,这个想法很急 你先做起来吧,Do not treat vague urgency as PRD bypass and route to PRD shaping,Starts implementation because urgency sounds decisive,entry_decision|trajectory_signal,raw_intent_no_implementation,true,false,false,true,false
