id,skill,should_trigger,fixture,prompt,expected_behavior,artifact_allowed,risky_write_allowed,skill_load_required,targeted_only
dispatch-001,dispatch,true,none,Use Groundwork dispatch to route these ready-for-agent issues and generate a dispatch package,Routes to dispatch and outputs Dispatch Summary plus Dispatch Package v2 without executing runtimes,false,false,true,true
dispatch-002,dispatch,false,none,按这个 issue 直接实现最小改动,Should route to implement rather than dispatch,false,false,true,true
dispatch-003,dispatch,true,none,Use Groundwork dispatch for multi-perspective review but do not create a worktree,Routes read-only review away from codex_app_managed_worktree_thread to codex_subagent main_thread_readonly or clean_reviewer,false,false,true,true
dispatch-004,dispatch,true,none,Use Groundwork dispatch for this planning-only task that only needs an execution plan and must not open a managed worktree,Planning-only must not route to codex_app_managed_worktree_thread and should choose main_thread_readonly or write-plan handoff,false,false,true,true
dispatch-005,dispatch,true,none,Use Groundwork dispatch to choose runtime for this ready_for_agent write_implementation issue with Goal Contract native source package and verification expectation,Write implementation ready_for_agent with dispatch_native_alignment source and verification fields defaults to codex_app_managed_worktree_thread only when worktree_isolated is justified unless trivial or user override,false,false,true,true
dispatch-006,dispatch,true,none,Use Groundwork dispatch to route this hybrid issue that may need investigation before a fix,Hybrid must split first or route investigation to codex_subagent or main_thread_readonly and must not create write worktree before concrete write subtask,false,false,true,true
dispatch-007,dispatch,true,none,Use Groundwork dispatch to assign model profile reasoning effort and selector enforcement for each task,Reports execution profile per task and never claims tool_enforced unless adapter confirms selector support,false,false,true,true
dispatch-008,dispatch,true,none,Use Groundwork dispatch to generate Result Package expectations including runtime_id status output_type evidence risks blockers and next route,Outputs expected Result Package envelope with runtime_id status output_type task runtime changes validation findings risk and next route,false,false,true,true
dispatch-009,dispatch,true,none,Use Groundwork dispatch to generate a subagent package but do not spawn subagent and do not call runtime tools,Stops before execution and only produces package-only instructions unless explicit execution request and tools are available,false,false,true,true
dispatch-010,dispatch,true,none,Use Groundwork dispatch to generate a routing profile and explain why tiny direct work avoids worktree while independent write issues default to managed worktree,Uses ROUTING-PROFILES defaults and routes tiny direct work to main_thread_direct while routing accepted write issues to codex_app_managed_worktree_thread,false,false,true,true
dispatch-011,dispatch,true,none,Use Groundwork dispatch to decide whether two write tasks that change the same API contract can run in parallel,Assigns same conflict group such as api-contract and does not parallelize conflicting write tasks by default,false,false,true,true
dispatch-012,dispatch,true,none,Use Groundwork dispatch for an adapter without model selector support when the task asks for high reasoning,Reports execution profile as prompt preference or unknown and never claims tool_enforced without adapter confirmation,false,false,true,true
dispatch-013,dispatch,true,none,Use Groundwork dispatch to generate a matrix for a PRD with write implementation read-only review hybrid diagnosis and migration tasks,Routes write implementation to managed worktree read-only review to subagent or clean_reviewer hybrid to diagnosis first and migration to managed worktree with high reasoning plus conflict preflight,false,false,true,true
dispatch-014,dispatch,true,evals/scenarios/subagent-readonly-review.md,Use Groundwork dispatch to generate a subagent read-only review package but do not spawn subagent do not edit files and do not claim execution,Outputs package-only codex_subagent subagent_package with can_write_files false findings_package or diagnosis_package expected output capability gate and no execution claim,false,false,true,true
dispatch-015,dispatch,true,evals/scenarios/managed-worktree-adapter-contract.md,Use Groundwork dispatch to validate the internal codex_app_managed_worktree_thread adapter contract for a ready write implementation package but do not expose a separate public skill or execute thread tools,References skills/dispatch/adapters/codex_app_managed_worktree_thread as an internal adapter contract requires strict managed-worktree package fields including prd_excerpt issue_body preferred_runtime and review_package output confirms no nested SKILL or skill frontmatter and preserves the no-execution boundary,false,false,true,true
dispatch-016,dispatch,true,none,Use Groundwork dispatch for a tiny accepted low-risk docs typo with clean workspace status checked and no artifact need,Sets dispatch_native_alignment.route_decision.route local_direct maps to main_thread_direct names workspace_state and risk evidence and does not claim worktree isolation runtime execution or closeout readiness,false,false,true,true
dispatch-017,dispatch,true,none,Use Groundwork dispatch for a ready write implementation with complete Goal Contract validation expected touched files unrelated staged files stale base and a shared-file conflict,Sets dispatch_native_alignment.route_decision.route worktree_isolated only because the decision names the unrelated staged files stale base shared files setup rollback archive path and evidence required before closeout while preserving package-only no worktree creation claim,false,false,true,true
dispatch-018,dispatch,true,none,Use Groundwork dispatch to generate a native aligned dispatch package for a ready worktree isolated implementation with handoff and closeout expectations but no runtime execution,Outputs dispatch_native_alignment with route_decision source_package policy handoff_expected closeout_expected merge_gate evidence_git_boundary_review_and_merge_source_required verification_expectation approval_requirements and runtime_evidence ownership while marking lifecycle registry child thread selector and background run fields as legacy compatibility and making no worktree Handoff archive cleanup runtime cache or release readiness claims,false,false,true,true
dispatch-019,dispatch,true,none,Use Groundwork dispatch to decide whether three ready read-only reviews and two conflicting write tasks can run in parallel,Explains runtime_policy.max_parallel_units as package-wide concurrency ceiling and tasks parallelization max_parallel_group_size as conflict group ceiling then applies both limits,false,false,true,true
dispatch-020,dispatch,true,none,Dispatch these ready tasks and create a recurring automation to run them nightly.,Generate package-only recommendation; mark automation_candidate recommendation-only and require a separate approved automation workflow. Must not create update schedule archive or claim automation was created.,false,false,true,true
