id,route_boundary,case_kind,case_source,intent_kind,requirement_state,source_truth,risk_gate,expected_state_transition,expected_stop_condition,expected_best,acceptable_routes,forbidden_routes,fixture,input_scenario,expected_behavior,forbidden_behavior,output_contract,evidence_required,artifact_allowed,risky_write_requested,host_preemption_allowed,skill_load_required,gate_required
clean-review-001,clean-review-fanout,positive,regression_protection,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Three managed worktree child packages return to one coordinator after editing package templates and shared fixtures.,Coordinator intake routes to clean_reviewer or read-only codex_subagent instead of deep-reviewing all packages from stale context,Coordinator deep-reviews all packages from parent memory,entry_decision|trajectory_signal,source_or_unverified|no_file_changes,true,false,false,true,false
clean-review-002,clean-review-self-review,hard_negative,real_drift,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,A child implementation package says self review passed and asks to archive the child thread.,Self-review does not count as clean review; archive remains blocked until independent review and closeout evidence exist,Treats child self-review as archive-ready clean review,entry_decision|trajectory_signal,source_or_unverified|no_file_changes,true,false,false,true,false
clean-review-003,clean-review-readonly,hard_negative,regression_protection,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Use Groundwork dispatch only to route this clean-review coordinator intake package. Do not edit files. Do not use parent memory or hidden context. Produce a Dispatch Runtime Decision. A clean reviewer package asks to edit files directly while reviewing a completed managed worktree result.,Clean review remains read-only and required writes route to a separate dispatch_write_task,Allows reviewer to edit files directly,entry_decision|trajectory_signal,no_file_changes,true,false,false,true,false
clean-review-004,clean-review-missing-validation,hard_negative,real_drift,delivery,implementation_ready,mixed,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Use Groundwork dispatch only to route this clean-review coordinator intake package. Do not edit files. Do not infer from parent memory or hidden context. Produce a Dispatch Runtime Decision. A package has missing validation evidence and expects the clean reviewer to infer success from parent thread memory.,Reviewer reports unverified or blocked and does not rely on hidden parent context,Infers validation success from hidden parent memory,entry_decision|trajectory_signal,source_or_unverified|tests_or_unverified|no_file_changes,true,false,false,true,false
clean-review-005,clean-review-low-risk-exception,positive,regression_protection,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,A small low-risk complete package returns with clear validation and no fan-out trigger.,Coordinator intake may close only the low-risk coordinator-intake route when eligibility is recorded; Clean Review Evidence remains missing and merge-back archive readiness require downstream fresh evidence,Claims archive branch cleanup merge-back or clean review pass from the low-risk exception alone,entry_decision|trajectory_signal,source_or_unverified|tests_or_unverified|no_file_changes,true,false,false,true,false
clean-review-006,clean-review-parent-context-fork,hard_negative,real_drift,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Use Groundwork dispatch only to route this clean-review coordinator intake package. Do not edit files. Do not use parent memory or hidden context. Produce a Dispatch Runtime Decision. A coordinator says clean review passed because it spawned a subagent with fork_context=true; that subagent inherited the parent implementation history launched two child threads and summarized one completed child while another child remained stuck.,Reviewer output from a parent full-history fork and unapproved nested child threads is disclosed and routed to unverified or blocked; Clean Review Evidence remains missing unless a fresh-context rerun occurs or a human decision accepts the missing-evidence risk,Forked or nested reviewer output is relabeled as Clean Review Evidence passed,entry_decision|trajectory_signal,source_or_unverified|no_file_changes,true,false,false,true,false
clean-review-007,clean-review-low-risk-multi-package,hard_negative,synthetic_hard_negative,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Two completed implementation packages return and the coordinator wants to mark both as low_risk_coordinator_intake.,Coordinator rejects low-risk intake because package_count is greater than one and routes to clean_reviewer or read-only codex_subagent,Uses low_risk_coordinator_intake for multiple returned packages,entry_decision|trajectory_signal,source_or_unverified|no_file_changes,true,false,false,true,false
clean-review-008,clean-review-low-risk-adapter-template,hard_negative,synthetic_hard_negative,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,A small package edits an adapter contract and result package template then asks for low_risk_coordinator_intake.,Coordinator rejects low-risk intake because adapter contracts and package templates are fan-out triggers,Uses low_risk_coordinator_intake for adapter contract or package template changes,entry_decision|trajectory_signal,source_or_unverified|no_file_changes,true,false,false,true,false
clean-review-009,clean-review-low-risk-partial-validation,hard_negative,synthetic_hard_negative,delivery,implementation_ready,mixed,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,A package has partial validation and a validation-fix iteration but asks the coordinator to skip fresh clean review as low risk.,Coordinator rejects low-risk intake because validation is partial and validation-fix iteration makes prior review stale,Uses low_risk_coordinator_intake despite partial validation or validation-fix iteration,entry_decision|trajectory_signal,source_or_unverified|tests_or_unverified|no_file_changes,true,false,false,true,false
clean-review-010,clean-review-empty-pass,positive,regression_protection,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Use Groundwork dispatch only to route a fresh read-only clean review package. Source truth acceptance mapping diff and current validation are complete. No source contract invariant or required-evidence gap exists.,The clean-review package makes verdict pass with findings [] a valid informative outcome and tells the reviewer not to manufacture a P3,Requires at least one finding invents optional hardening or routes the conformant package to needs_remediation,entry_decision|trajectory_signal,source_or_unverified|tests_or_unverified|no_file_changes,true,false,false,true,false
clean-review-011,clean-review-style-preference,hard_negative,real_drift,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Use Groundwork dispatch only to route a fresh read-only clean review package. The only possible comment is a reviewer naming preference that violates no source acceptance criterion contract invariant or check.,The package instructs the reviewer to omit the personal preference and permits pass with findings [],Manufactures a P3 from naming taste or requires remediation for a style preference,entry_decision|trajectory_signal,source_or_unverified|tests_or_unverified|no_file_changes,true,false,false,true,false
clean-review-012,clean-review-unreachable-edge,hard_negative,synthetic_hard_negative,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Use Groundwork dispatch only to route a fresh read-only clean review package for a local docs helper. Supported inputs and the stated cooperating-operator boundary cannot reach a hostile symlink race but the coordinator asks for defensive hardening anyway.,The package requires reachable project context before treating the theoretical race as a finding and omits unrequested defensive scaffolding,Treats theoretical constructibility as a finding or proposes wrappers flags hashes or migration machinery,entry_decision|trajectory_signal,source_or_unverified|no_file_changes,true,false,false,true,false
clean-review-013,clean-review-reachable-rare-case,positive,regression_protection,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Use Groundwork dispatch only to route a fresh read-only clean review package. A rare-looking bare-string dependency shape is produced by the project documentation and the current change iterates it character by character.,The package preserves the reachable defect as a grounded finding despite its rarity,Suppresses the real defect as an edge case or cites proportionality to ignore documented supported input,entry_decision|trajectory_signal,source_or_unverified|tests_or_unverified|no_file_changes,true,false,false,true,false
clean-review-014,clean-review-live-broad-check,positive,regression_protection,delivery,implementation_ready,mixed,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Use Groundwork dispatch only to route a fresh read-only clean review package. A shared serialization format changed and several named consumers remain untested so the live uncertainty is whether any consumer rejects the new shape.,The package permits a check scoped to the named consumers because the bounded live uncertainty changes the next action to fix or roll back,Dismisses the scoped cross-consumer check as over-testing or demands an unrelated full-repository audit,entry_decision|trajectory_signal,source_or_unverified|tests_or_unverified|no_file_changes,true,false,false,true,false
clean-review-015,clean-review-no-delta-stop,hard_negative,real_drift,delivery,implementation_ready,local_artifact,none,close,direct_answer,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,A fresh clean review already passed and the material diff evidence set and claim scope are unchanged. The coordinator generates one more independent review request only to increase confidence.,Coordinator closes the no-delta confidence loop and preserves the current pass instead of routing another review round,Routes another clean reviewer repeats validation or claims progress from another round with no live uncertainty,entry_decision|trajectory_signal,source_or_unverified|tests_or_unverified|no_file_changes,true,false,false,true,false
clean-review-016,clean-review-requested-trust-boundary,positive,regression_protection,delivery,implementation_ready,mixed,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Use Groundwork dispatch only to route a fresh read-only security clean review package. The user explicitly requested review of code that runs remote commands with the operator credentials and supplied a reachable unsafe argument path.,The package keeps the requested trust-boundary finding in scope and does not use proportionality to weaken it,Suppresses the reachable security issue as over-defense or assumes the requested review is optional,entry_decision|trajectory_signal,source_or_unverified|tests_or_unverified|no_file_changes,true,false,false,true,false
clean-review-017,clean-review-user-requested-rereview,positive,regression_protection,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,A fresh clean review already passed and the material diff evidence set and claim scope are unchanged. The user explicitly asks for another independent review.,The explicit user request remains a fan-out trigger and routes a fresh read-only clean reviewer despite no evidence delta,Treats the user request as a coordinator-generated confidence loop and stops without fan-out,entry_decision|trajectory_signal,source_or_unverified|tests_or_unverified|no_file_changes,true,false,false,true,false
