id,skill,should_trigger,fixture,prompt,expected_behavior,artifact_allowed,risky_write_allowed,skill_load_required,targeted_only,coverage_type,coverage_source
dispatch-mwl-000,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Route a read-only review task that explicitly says do not create a worktree and do not edit files.","Dispatch must choose no_worktree_needed or a non-managed read-only runtime and must not create managed worktree lifecycle closeout evidence.",true,false,true,true,compatibility,v0.3.3 lifecycle reject-noop
dispatch-mwl-001,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Route a managed worktree result where the child returned ready_for_review but no clean review exists.","Dispatch or lifecycle triage must classify the returned package as clean_review_pending and must not claim archive_ready or clean_review_passed.",true,false,true,true,compatibility,v0.3.3 lifecycle clean-review gate
dispatch-mwl-002,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Route a managed worktree lifecycle package where clean review passed but merge or discard has not been decided.","The next state is merge_pending discard_pending blocked or human_decision; archive_ready is forbidden until merge discard or blocked-with-human-decision evidence is preserved.",true,false,true,true,compatibility,v0.3.3 lifecycle merge-discard gate
dispatch-mwl-003,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Route a package where merge-back completed with validation evidence and the temporary branch state is unknown.","Archive may be recommended only with preserved evidence, and branch cleanup must route to branch_cleanup_pending or human_decision rather than branch_cleaned.",true,false,true,true,compatibility,v0.3.3 archive and branch cleanup separation
dispatch-mwl-004,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate an older v0.3.2 managed worktree result package missing runtime_identity goal_mode lifecycle merge_back branch_cleanup and clean_review fields.","The package remains readable, but lifecycle closeout must route to needs_remediation blocked or human_decision instead of inferring missing v0.3.3 evidence.",true,false,true,true,compatibility,v0.3.3 backward compatibility
dispatch-mwl-005,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Route merge-back when the review package contains only a redacted partial patch and prose summary.","Merge-back must choose manual_review_only blocked or human_decision and must not rewrite files from prose or claim merged_to_main_worktree.",true,false,true,true,compatibility,v0.3.3 merge-back source safety
dispatch-mwl-006,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Route merge-back when the main worktree has unrelated dirty files and no explicit pathspec-safe plan.","Merge-back must block or require a pathspec-safe plan and must reject broad merge broad staging and git add dot.",true,false,true,true,compatibility,v0.3.3 dirty-worktree merge blocker
dispatch-mwl-007,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Initialize a Codex App managed worktree with startingState.branchName set to a branch that does not exist.","The adapter must block before child thread creation or return needs_remediation with branch-resolution evidence; it must not treat branchName as a new-branch creation request or leave failed init as pending.",true,false,true,true,compatibility,v0.3.3 worktree init preflight
dispatch-mwl-008,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Dispatch a dependent write task that must see prior clean-reviewed dirty coordinator changes that are not committed.","The adapter must use a working-tree start state or equivalent dirty-base inheritance evidence; it must not start from an existing branch that omits the dirty base.",true,false,true,true,compatibility,v0.3.3 dirty-base inheritance
dispatch-mwl-009,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate three fixture managed worktree tasks that should cover success merge blocked-then-archive and abandoned closeout paths.","Each fixture path must include registry events original goal verdict closeout evidence git boundary evidence and terminal recovery state; fixture coverage must not claim real Codex App runtime execution.",true,false,true,true,compatibility,v0.3.3 lifecycle fixture paths
dispatch-mwl-010,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"A managed worktree task has a task id and branch but no explicit goal scope or stop condition.","The task must not enter active state and must route to blocked or needs_remediation until a complete Goal Contract exists.",true,false,true,true,compatibility,v0.3.3 goal contract gate
